Date,Open,High,Low,Close,Volume
2013-03-19,17.13,17.22,16.89,16.92,336259
2013-03-20,17.0,17.07,16.76,17.0,164383
2013-03-21,16.78,16.92,16.45,16.74,260494
2013-03-22,16.87,16.87,16.51,16.6,180871
2013-03-25,16.7,16.7,16.0,16.18,209568
2013-03-26,16.24,16.24,15.65,16.18,266562
2013-03-27,16.06,16.42,15.78,16.25,272669
2013-03-28,16.38,16.53,16.15,16.38,188835
2013-04-01,16.35,16.35,15.46,15.63,267421
2013-04-02,15.71,15.84,15.512,15.71,139035
2013-04-03,15.74,15.74,15.43,15.51,141186
2013-04-04,15.5,15.65,15.05,15.48,146199
2013-04-05,15.32,15.51,15.22,15.42,200662
2013-04-08,15.49,15.5099,15.08,15.195,144511
2013-04-09,15.25,15.38,15.1,15.1,172016
2013-04-10,15.21,15.24,15.06,15.11,291385
2013-04-11,15.05,15.225,14.92,14.988,287982
2013-04-12,14.93,14.99,14.66,14.98,182189
2013-04-15,14.89,14.89,14.084,14.26,323451
2013-04-16,14.33,14.72,14.17,14.69,188342
2013-04-17,14.58,14.93,14.23,14.23,238465
2013-04-18,14.16,14.22,13.65,13.84,265393
2013-04-19,13.8,14.384,13.63,14.27,207952
2013-04-22,14.25,14.46,13.9,14.39,102336
2013-04-23,14.51,14.74,14.2901,14.7,212315
2013-04-24,14.64,15.02,14.57,15.02,152879
2013-04-25,15.05,15.6,15.0,15.26,245673
2013-04-26,15.16,15.25,14.86,15.06,120361
2013-04-29,15.1,15.45,14.97,15.35,108260
2013-04-30,15.39,15.5,15.15,15.23,176478
2013-05-01,15.1,15.23,14.85,15.1,260798
2013-05-02,15.17,15.51,15.07,15.43,131139
2013-05-03,15.65,16.09,15.6,15.75,125527
2013-05-06,15.68,15.922,15.67,15.79,105840
2013-05-07,16.3,17.02,16.3,17.0,767329
2013-05-08,17.07,17.12,16.84,17.05,611581
2013-05-09,17.13,17.37,17.03,17.16,236436
2013-05-10,17.23,17.38,17.05,17.13,156074
2013-05-13,17.13,17.57,17.09,17.24,190015
2013-05-14,17.21,17.5325,17.15,17.52,239382
2013-05-15,17.66,17.94,17.61,17.87,211794
2013-05-16,17.9,18.03,17.775,17.86,178014
2013-05-17,17.94,18.31,17.86,18.26,196326
2013-05-20,18.25,18.43,17.93,18.11,269726
2013-05-21,18.1,18.14,17.74,17.78,175574
2013-05-22,17.76,19.1601,17.76,18.8,727478
2013-05-23,18.78,18.9,18.35,18.74,253801
2013-05-24,18.65,18.79,18.4,18.55,270157
2013-05-28,18.88,18.892,18.54,18.79,295732
2013-05-29,18.68,18.75,18.36,18.59,199675
2013-05-30,18.62,18.716,18.47,18.51,247058
2013-05-31,18.36,18.51,18.35,18.42,516169
2013-06-03,18.38,18.6,18.22,18.5,298617
2013-06-04,18.46,18.68,18.01,18.51,343519
2013-06-05,18.43,18.5,18.01,18.04,207782
2013-06-06,18.0,18.14,17.65,17.78,282660
2013-06-07,17.99,18.11,17.75,18.06,189673
2013-06-10,18.11,18.34,18.0,18.34,336266
2013-06-11,18.09,18.5,17.96,18.31,118209
2013-06-12,18.45,18.57,18.375,18.49,313020
2013-06-13,18.56,19.1799,18.4,19.15,631257
2013-06-14,19.27,19.64,19.07,19.11,348629
2013-06-17,19.41,19.41,18.57,18.74,331489
2013-06-18,18.69,19.09,18.55,19.02,304991
2013-06-19,19.07,19.08,18.68,18.8,227434
2013-06-20,18.63,18.6625,18.32,18.41,256064
2013-06-21,18.5,18.525,17.67,17.75,343068
2013-06-24,17.5,17.61,17.051,17.39,362211
2013-06-25,17.67,17.97,17.49,17.91,197794
2013-06-26,18.11,18.26,17.93,18.19,371469
2013-06-27,18.36,18.8,18.31,18.61,291001
2013-06-28,18.59,18.66,18.42,18.57,544489
2013-07-01,18.64,18.94,18.64,18.85,300770
2013-07-02,18.99,19.2,18.92,19.1,372659
2013-07-03,18.95,19.15,18.9,19.12,202566
2013-07-05,19.49,19.7,19.22,19.55,245205
2013-07-08,19.69,19.75,19.16,19.4,241385
2013-07-09,19.49,19.55,19.05,19.41,314061
2013-07-10,19.45,19.7,19.34,19.47,173412
2013-07-11,19.83,19.91,19.51,19.55,169455
2013-07-12,19.54,19.65,19.42,19.44,137278
2013-07-15,19.43,19.53,19.24,19.3,151463
2013-07-16,19.28,19.28,18.821,19.03,176144
2013-07-17,19.15,19.38,18.95,19.29,309514
2013-07-18,19.34,20.15,19.34,19.86,430426
2013-07-19,19.92,20.13,19.89,19.98,475699
2013-07-22,20.0,20.24,19.59,19.67,164912
2013-07-23,19.69,19.74,19.4321,19.74,247659
2013-07-24,19.85,20.31,19.56,20.3,341636
2013-07-25,20.32,20.59,20.15,20.39,279336
2013-07-26,20.18,20.43,20.0,20.31,264789
2013-07-29,20.31,20.64,20.31,20.48,357750
2013-07-30,20.63,20.66,20.42,20.53,187489
2013-07-31,20.67,20.7,20.37,20.4,315765
2013-08-01,19.03,19.36,17.51,18.68,1230420
2013-08-02,18.53,18.83,18.37,18.79,411195
2013-08-05,18.78,19.15,18.584,19.0,411168
2013-08-06,18.87,19.1,18.56,18.64,198316
2013-08-07,18.46,19.139,17.75,18.29,309347
2013-08-08,18.35,18.445,17.79,17.97,263288
2013-08-09,17.87,18.099,17.775,18.0,173484
2013-08-12,17.97,18.15,17.754,18.14,158196
2013-08-13,18.14,18.14,17.6,17.79,262703
2013-08-14,17.74,18.15,17.61,17.89,169941
2013-08-15,17.77,17.77,17.16,17.17,199822
2013-08-16,17.04,17.73,17.01,17.64,282305
2013-08-19,17.65,17.93,17.47,17.47,229607
2013-08-20,17.54,17.73,17.39,17.49,182298
2013-08-21,17.4,17.59,17.19,17.31,125787
2013-08-22,17.35,17.82,17.148,17.64,101672
2013-08-23,17.63,17.7399,17.31,17.48,245157
2013-08-26,17.5,17.6999,17.19,17.5,256421
2013-08-27,17.36,17.45,16.87,16.92,161516
2013-08-28,16.94,17.1,16.87,16.98,208118
2013-08-29,16.85,17.29,16.81,17.06,174048
2013-08-30,17.02,17.108,16.64,16.73,181233
2013-09-03,16.87,17.12,16.55,16.71,254495
2013-09-04,16.68,17.0,16.52,16.9,269394
2013-09-05,16.99,17.235,16.9233,17.02,266291
2013-09-06,17.19,17.36,16.75,17.05,116281
2013-09-09,17.13,17.47,17.03,17.44,231064
2013-09-10,17.59,18.21,17.47,18.2,480512
2013-09-11,18.25,18.39,18.04,18.36,296210
2013-09-12,18.41,18.41,18.084,18.26,283858
2013-09-13,18.36,18.78,18.29,18.62,275967
2013-09-16,18.84,19.16,18.73,18.81,299040
2013-09-17,18.9,19.1,18.71,19.02,183844
2013-09-18,19.04,19.5,18.81,19.48,319497
2013-09-19,19.48,19.53,19.15,19.26,203291
2013-09-20,19.3,19.49,19.17,19.32,295107
2013-09-23,19.23,19.35,18.93,19.15,134919
2013-09-24,19.11,19.3,19.11,19.25,172621
2013-09-25,19.29,19.5,19.07,19.32,185749
2013-09-26,19.4,19.6,19.25,19.55,207038
2013-09-27,19.39,19.66,19.35,19.45,289472
2013-09-30,19.25,19.305,19.01,19.09,181419
2013-10-01,19.06,19.25,19.02,19.23,146271
2013-10-02,19.09,19.41,19.07,19.31,190804
2013-10-03,19.3,19.9,19.3,19.85,293394
2013-10-04,19.8,20.15,19.67,19.88,203372
2013-10-07,19.74,19.9,19.56,19.62,212007
2013-10-08,19.61,19.77,19.33,19.4,229247
2013-10-09,19.41,19.45,18.96,19.26,134837
2013-10-10,19.5,20.0,19.5,19.83,182517
2013-10-11,19.84,20.02,19.64,19.8,182387
2013-10-14,19.71,20.25,19.53,20.21,146021
2013-10-15,20.23,20.38,19.79,19.91,79294
2013-10-16,20.08,20.22,19.93,19.94,271999
2013-10-17,19.88,20.25,19.88,20.08,188856
